region,year,median,q05,q15,q25,q75,q85,q95,mean,sd
europe,1986,0.7408311647857821,0.5469521561799191,0.6139062825389128,0.6577745763191543,0.8346888500104536,0.884371905801569,0.9765310179350026,0.7494205154853041,0.13161015478756868
europe,1987,0.7442779443755037,0.553371435856863,0.6202131049887939,0.6610764412421364,0.8317336980535712,0.8827752548573254,0.9711115754589417,0.7510108924336583,0.12813480848978823
europe,1988,0.7336129598561022,0.5338584269364346,0.6041198878514762,0.6486901611958896,0.8215722768466418,0.8718785803333537,0.9586178486868367,0.7379738691697552,0.1288299574345531
europe,1989,0.7813100501697398,0.5765707455525841,0.6467229487635984,0.6925857217947343,0.8738980019961871,0.926454056363206,1.0200781841162438,0.7865217853094376,0.13455184556873495
europe,1990,0.842174830015803,0.6307789147792585,0.7018031743121231,0.7504840234556107,0.9351264386895817,0.9878446818830428,1.0824515555393868,0.8465455350468596,0.13787433052829487
europe,1991,0.7441013174167508,0.5447853814327123,0.614016648345872,0.6567667792445833,0.8339483731637243,0.8859802847697299,0.97078776120313,0.7493656330842028,0.1308143333942393
europe,1992,0.8005759521510597,0.5993027615718514,0.6710175635997491,0.7140678070415107,0.8890394230883035,0.9409267971397492,1.0280967708186302,0.8051430498817904,0.13103168637464263
europe,1993,0.7522564756613742,0.5616574660266337,0.6294079336293021,0.6735706146209347,0.8397604519467771,0.8935517315005862,0.9811551584247357,0.7597587626866567,0.12762978308233575
europe,1994,0.7556752163131735,0.5606469104198362,0.6269547223657901,0.6712448523482988,0.8479031430637479,0.8968679024701173,0.9828396750796861,0.7620780574130078,0.12951832284809822
europe,1995,0.76557082395735,0.570025104880616,0.6378773615120722,0.6804500137384604,0.8541041253482099,0.9081245840305915,1.0053296103209717,0.7725237719008876,0.13149690154733568
europe,1996,0.8127518488213569,0.6127198583583979,0.6823173479589262,0.7268345372795666,0.9079865347557503,0.9646955770027168,1.0595798799291212,0.8202330576943201,0.13664926264962254
europe,1997,0.8104302394701148,0.60788652200576,0.6792745743121935,0.7238301926490504,0.8973895729772469,0.95161558336229,1.0431059693745546,0.8142661793145999,0.1311703958766658
europe,1998,0.8304154200149663,0.6224433118610311,0.6979188453181272,0.7418648442855741,0.9292684723901425,0.9785606812960997,1.077056412378791,0.838597396361538,0.1375688848351309
europe,1999,0.8345695556323695,0.62959353362294,0.7001581746099569,0.7446261154249552,0.9242595701142986,0.972504448528547,1.0587280285689618,0.8370594653263936,0.13155976427333718
europe,2000,0.9440404431134691,0.7248934780557901,0.8031775597187494,0.8515393147917744,1.0454900110959742,1.1025214920634192,1.208458957062925,0.9523765088404166,0.14670833220057247
europe,2001,0.8423257611645137,0.6383365029451689,0.7060662735257942,0.7500690062430573,0.9369600842312243,0.99178213373636,1.0929361118575962,0.8488418991877706,0.13828199385571932
europe,2002,0.9870991232530915,0.7438882887926523,0.8285080206864424,0.8828536751623013,1.0897588328659042,1.1483889887154985,1.258672295581796,0.9916681335551873,0.1567689590435461
europe,2003,0.9343676114875592,0.717416169671858,0.7913774242249514,0.8404815892936384,1.0323560120343784,1.0893842179002493,1.1842532713196616,0.9396298833467052,0.14257304771261123
europe,2004,0.9608679188782879,0.7415398534210969,0.825124546868955,0.871146862078589,1.056675564367399,1.1089974123657034,1.2075849583517604,0.9654979114230584,0.14017295663261528
europe,2005,0.9599472310913255,0.7316620545013343,0.8139223032926436,0.8636769125705785,1.065540794798134,1.1235557276269597,1.22249091809331,0.968491379479354,0.14988008853317286
europe,2006,0.9391202161454921,0.7263609645201944,0.7966395428103392,0.8416702189376616,1.0362578793430468,1.0899094113443974,1.187119350304128,0.9432167871133316,0.1410542714200457
europe,2007,0.9226945175767549,0.7124997047681609,0.7926992874195113,0.8356712675676811,1.018469484501966,1.0740185602974648,1.1564019894435411,0.9299317476468628,0.1357919028137079
europe,2008,0.9492690760222544,0.7319190345356835,0.8069691608162777,0.8548441663442603,1.0472962341445786,1.1028695918066835,1.1967169528102035,0.9551993210006589,0.14174939800455977
europe,2009,1.01616081333328,0.7787230488809469,0.8609438308681024,0.915083888357797,1.124446792274087,1.1855246176821463,1.299690403493107,1.0234159157603309,0.1580045277136768
europe,2010,0.9962973132354481,0.7763036680276382,0.8551159255525786,0.9047275690369022,1.0971987965708783,1.1566017251376637,1.250477813288743,1.003859710598285,0.1463220989972944
europe,2011,1.032396139629021,0.8071318619347804,0.8835422435369705,0.9328740251551069,1.1413052159482993,1.1972601219806933,1.301016386572287,1.0407002307488498,0.15176985190213427
europe,2012,0.9911711797613438,0.7707002084904689,0.8498403032918397,0.8962171738767152,1.0932978707997398,1.152786634218166,1.246861354543114,0.9979392648950833,0.14532267393171602
europe,2013,1.0210884987972406,0.7972555819152481,0.8716910455523373,0.9213835685017064,1.1228441196940366,1.1763305275443428,1.2729040575941966,1.025040432829757,0.14711688653641916
europe,2014,0.9967440594847913,0.7806924123408782,0.8548921722535103,0.9015269243838359,1.10003727568174,1.1558301912261266,1.2542878614774204,1.003885485666222,0.1451779430493124
europe,2015,1.059235134456866,0.8155639962783439,0.9034615607038459,0.9555875249006551,1.1678320126538293,1.231863494258783,1.33854188705978,1.0667571502383866,0.15980135316886981
europe,2016,0.982425054296014,0.758426408537904,0.8339364695660947,0.8859456846164084,1.0873677213837274,1.1445716390758596,1.2411189638013544,0.9900568488440098,0.14812400245603805
europe,2017,1.0613316411054798,0.824848104583419,0.906394137991146,0.9610062033995491,1.1613135044196499,1.219469597057276,1.3205769240531335,1.0645187830894796,0.1511930759531661
europe,2018,1.1352696539775269,0.8958409849758153,0.9780742512009718,1.0390536462860576,1.2431312577731464,1.2998534283238068,1.4050685694167298,1.1415440016375344,0.1556673668545753
